Date, A, B
02-03-2020 17:12, 0, 1
02-03-2020 17:18, 0, 1
02-03-2020 17:29, 1, 0
02-03-2020 17:58, 1, 0
02-03-2020 18:04, 0, 1
02-03-2020 18:11, 0, 1
02-03-2020 18:20, 1, 0
02-03-2020 18:30, 1, 0
02-03-2020 18:38, 0, 1
02-03-2020 18:47, 1, 0
02-03-2020 18:56, 0, 1
02-03-2020 19:06, 0, 1
02-03-2020 19:25, 1, 0
02-03-2020 19:44, 1, 0
02-03-2020 19:44, 0, 1
02-03-2020 19:53, 1, 0
02-03-2020 20:02, 1, 0
02-03-2020 20:10, 1, 0
02-03-2020 20:20, 0, 1
02-03-2020 20:30, 1, 0
02-03-2020 20:40, 1, 0
02-03-2020 20:48, 1, 0
02-03-2020 20:55, 0, 1
02-03-2020 21:05, 1, 0
04-03-2020 18:07, 0, 1
04-03-2020 18:18, 1, 0
04-03-2020 18:24, 0, 1
04-03-2020 18:38, 1, 0
04-03-2020 18:49, 1, 0
04-03-2020 19:06, 0.5, 0.5
04-03-2020 19:17, 1, 0
04-03-2020 19:24, 1, 0
04-03-2020 19:46, 0, 1
04-03-2020 20:00, 1, 0
04-03-2020 20:08, 1, 0
04-03-2020 20:21, 0, 1
04-03-2020 20:27, 0, 1
04-03-2020 20:47, 1, 0
04-03-2020 20:59, 0, 1
04-03-2020 21:15, 1, 0
04-03-2020 21:25, 0, 1
10-03-2020 18:21, 1, 0
10-03-2020 18:33, 1, 0
10-03-2020 18:45, 0, 1
10-03-2020 19:01, 0, 1
10-03-2020 19:06, 0, 1
10-03-2020 19:09, 0, 1
10-03-2020 19:23, 1, 0
10-03-2020 19:33, 1, 0
10-03-2020 19:49, 1, 0
10-03-2020 20:01, 0, 1
10-03-2020 20:24, 0, 1
10-03-2020 20:29, 0, 1
10-03-2020 20:37, 0, 1
10-03-2020 20:40, 0, 1
10-03-2020 20:47, 0, 1
04-04-2020 18:38, 0.5, 0.5
04-04-2020 18:55, 0, 1
04-04-2020 18:59, 0, 1
04-04-2020 19:03, 0, 1
04-04-2020 19:15, 0, 1
04-04-2020 19:24, 0, 1
04-04-2020 19:34, 0, 1
04-04-2020 19:49, 0, 1
04-04-2020 20:07, 1, 0
04-04-2020 20:30, 0, 1
04-04-2020 20:44, 0, 1
04-04-2020 20:54, 0, 1
04-04-2020 21:06, 1, 0
04-04-2020 21:09, 0, 1
04-04-2020 21:17, 0, 1
04-04-2020 21:27, 0, 1
04-04-2020 21:33, 1, 0
04-04-2020 21:40, 0, 1
04-04-2020 21:47, 0, 1
04-04-2020 22:04, 1, 0
04-04-2020 22:11, 0, 1
04-04-2020 22:21, 0, 1
04-04-2020 22:31, 1, 0
04-04-2020 22:42, 0, 1
04-04-2020 22:47, 0, 1
04-04-2020 22:55, 1, 0
04-04-2020 23:03, 1, 0
04-04-2020 23:14, 1, 0
04-04-2020 23:21, 0, 1
04-04-2020 23:31, 0, 1
04-04-2020 23:42, 0, 1
04-04-2020 23:53, 0, 1
05-04-2020 00:04, 0.5, 0.5
05-04-2020 00:14, 1, 0
06-04-2020 16:22, 1, 0
06-04-2020 16:32, 0, 1
06-04-2020 16:42, 1, 0
06-04-2020 16:50, 1, 0
06-04-2020 16:54, 1, 0
06-04-2020 17:05, 0, 1
06-04-2020 17:10, 1, 0
06-04-2020 17:17, 0, 1
06-04-2020 17:26, 0, 1
06-04-2020 17:37, 0, 1
06-04-2020 17:47, 0.5, 0.5
06-04-2020 17:56, 0, 1
06-04-2020 18:06, 0, 1
06-04-2020 18:11, 0, 1
06-04-2020 18:21, 1, 0
06-04-2020 18:31, 0, 1
06-04-2020 18:38, 1, 0
06-04-2020 18:48, 0, 1
06-04-2020 18:56, 0, 1
06-04-2020 19:05, 0, 1
06-04-2020 19:15, 1, 0
06-04-2020 19:24, 0, 1
06-04-2020 19:29, 0, 1
09-04-2020 13:43, 0, 1
09-04-2020 13:54, 1, 0
09-04-2020 14:03, 1, 0
09-04-2020 14:12, 1, 0
09-04-2020 14:21, 0, 1
09-04-2020 14:31, 0, 1
09-04-2020 14:39, 0, 1
09-04-2020 14:45, 1, 0
09-04-2020 14:56, 1, 0
09-04-2020 15:02, 1, 0
09-04-2020 15:11, 1, 0
09-04-2020 15:23, 0, 1
09-04-2020 15:35, 1, 0
09-04-2020 15:43, 0, 1
09-04-2020 15:53, 1, 0
09-04-2020 16:03, 0.5, 0.5
09-04-2020 16:14, 1, 0
09-04-2020 16:22, 1, 0
09-04-2020 16:34, 0, 1
09-04-2020 16:41, 0, 1
09-04-2020 16:47, 1, 0
09-04-2020 16:55, 0, 1
09-04-2020 17:06, 1, 0
09-04-2020 17:16, 0, 1
09-04-2020 17:25, 1, 0
09-04-2020 17:36, 1, 0
09-04-2020 17:43, 0, 1
09-04-2020 17:50, 0, 1
09-04-2020 17:56, 0, 1
09-04-2020 18:01, 0, 1
09-04-2020 18:09, 0, 1
09-04-2020 18:16, 0, 1
09-04-2020 18:27, 1, 0
09-04-2020 18:31, 0, 1
09-04-2020 18:35, 0, 1
09-04-2020 18:41, 0, 1
09-04-2020 18:50, 0, 1
09-04-2020 19:01, 0, 1
09-04-2020 19:09, 0, 1
09-04-2020 19:13, 0, 1
09-04-2020 19:22, 0.5, 0.5
09-04-2020 19:24, 0, 1
09-04-2020 19:29, 0, 1
09-04-2020 19:39, 1, 0
09-04-2020 19:47, 1, 0
09-04-2020 19:57, 1, 0
09-04-2020 20:08, 0.5, 0.5
09-04-2020 20:14, 0, 1
09-04-2020 20:25, 0, 1
09-04-2020 20:35, 0, 1
09-04-2020 20:41, 1, 0
09-04-2020 20:51, 0, 1
09-04-2020 20:53, 0, 1
09-04-2020 21:07, 0, 1
14-04-2020 14:56, 0, 1
14-04-2020 15:00, 1, 0
14-04-2020 15:10, 1, 0
14-04-2020 15:17, 1, 0
14-04-2020 15:22, 0, 1
14-04-2020 15:29, 1, 0
14-04-2020 15:36, 0, 1
14-04-2020 15:49, 1, 0
14-04-2020 16:33, 0, 1
14-04-2020 16:41, 1, 0
14-04-2020 16:49, 0, 1
14-04-2020 16:58, 1, 0
14-04-2020 17:09, 0, 1
