Date, A, B
01-08-2018 20:51, 0, 1
01-08-2018 21:02, 1, 0
01-08-2018 21:08, 0, 1
01-08-2018 21:19, 0, 1
01-08-2018 21:28, 1, 0
01-08-2018 21:31, 0, 1
01-08-2018 21:41, 0, 1
01-08-2018 21:52, 0, 1
01-08-2018 22:00, 0, 1
01-08-2018 22:08, 0, 1
10-08-2018 10:21, 0, 1
10-08-2018 10:34, 0, 1
10-08-2018 10:45, 0, 1
10-08-2018 10:53, 1, 0
10-08-2018 11:06, 0, 1
10-08-2018 11:14, 1, 0
10-08-2018 11:26, 1, 0
10-08-2018 11:37, 0, 1
10-08-2018 11:47, 1, 0
10-08-2018 11:56, 1, 0
10-08-2018 12:04, 0, 1
10-08-2018 12:16, 1, 0
10-08-2018 12:28, 1, 0
10-08-2018 12:39, 0.5, 0.5
10-08-2018 12:46, 0, 1
19-08-2018 14:08, 0.5, 0.5
19-08-2018 14:20, 0, 1
19-08-2018 14:27, 1, 0
19-08-2018 14:43, 0, 1
19-08-2018 14:48, 1, 0
19-08-2018 14:59, 0, 1
19-08-2018 15:13, 0, 1
19-08-2018 15:23, 0, 1
02-09-2018 12:16, 1, 0
02-09-2018 12:26, 0, 1
02-09-2018 12:31, 0, 1
02-09-2018 12:40, 0, 1
02-09-2018 12:48, 0, 1
02-09-2018 12:57, 0, 1
02-09-2018 13:08, 1, 0
02-09-2018 13:19, 1, 0
02-09-2018 13:26, 1, 0

07-10-2018 12:45, 0, 1
07-10-2018 12:55, 0, 1
07-10-2018 13:05, 0, 1
07-10-2018 13:09, 0, 1
07-10-2018 13:19, 0, 1
07-10-2018 13:31, 1, 0
07-10-2018 13:43, 0, 1
07-10-2018 13:54, 1, 0
07-10-2018 14:05, 0, 1
07-10-2018 14:12, 0, 1
07-10-2018 14:23, 1, 0
21-10-2018 12:52, 1, 0
21-10-2018 13:03, 0, 1
21-10-2018 13:16, 0, 1
21-10-2018 13:23, 1, 0
21-10-2018 13:36, 0, 1
21-10-2018 13:48, 1, 0
21-10-2018 13:57, 1, 0
21-10-2018 14:08, 1, 0
21-10-2018 14:17, 1, 0
21-10-2018 14:27, 1, 0
21-10-2018 14:38, 0.5, 0.5
21-10-2018 14:47, 0, 1
21-10-2018 14:58, 0, 1
24-11-2018 10:31, 0, 1
24-11-2018 10:42, 0, 1
24-11-2018 10:54, 1, 0
24-11-2018 10:59, 0, 1
24-11-2018 11:04, 0, 1
24-11-2018 11:15, 0, 1
24-11-2018 11:25, 1, 0
24-11-2018 11:39, 0, 1
24-11-2018 11:50, 1, 0
24-11-2018 12:00, 1, 0
27-01-2019 11:44, 1, 0
27-01-2019 11:56, 1, 0
27-01-2019 12:05, 0, 1
27-01-2019 12:13, 0, 1
27-01-2019 12:23, 0, 1
27-01-2019 12:32, 1, 0
27-01-2019 12:40, 0, 1
02-03-2019 10:46, 1, 0
02-03-2019 10:46, 1, 0
02-03-2019 10:56, 0, 1
02-03-2019 10:56, 0, 1
02-03-2019 11:02, 1, 0
02-03-2019 11:09, 1, 0
02-03-2019 11:20, 0, 1
02-03-2019 11:30, 1, 0
02-03-2019 11:40, 0, 1
02-03-2019 11:50, 1, 0
02-03-2019 12:00, 0, 1
12-05-2019 12:22, 1, 0
12-05-2019 12:28, 1, 0
12-05-2019 12:37, 1, 0
12-05-2019 12:48, 0.5, 0.5
12-05-2019 12:53, 1, 0
12-05-2019 13:08, 1, 0
12-05-2019 13:18, 0, 1
12-05-2019 13:27, 0, 1
12-05-2019 13:41, 1, 0
12-05-2019 13:50, 0, 1
12-05-2019 14:00, 0, 1
12-05-2019 14:08, 1, 0
09-06-2019 10:35, 0, 1
09-06-2019 10:46, 0, 1
09-06-2019 10:53, 0, 1
09-06-2019 11:00, 1, 0
09-06-2019 11:11, 0, 1
09-06-2019 11:22, 0.5, 0.5
09-06-2019 11:28, 1, 0
09-06-2019 11:28, 0, 1
09-06-2019 11:28, 0, 1
09-06-2019 11:37, 0, 1
09-06-2019 11:48, 1, 0
09-06-2019 11:58, 1, 0
09-06-2019 12:12, 0, 1
09-06-2019 12:12, 0, 1
09-06-2019 12:21, 0, 1
09-06-2019 12:32, 0, 1
08-09-2019 08:01, 1, 0
08-09-2019 08:14, 1, 0
08-09-2019 08:27, 1, 0
08-09-2019 08:42, 1, 0
08-09-2019 08:53, 0, 1
08-09-2019 09:03, 0, 1
08-09-2019 09:10, 0, 1
08-09-2019 09:18, 1, 0
08-09-2019 09:32, 0, 1
08-09-2019 09:43, 1, 0
08-09-2019 09:53, 1, 0
08-09-2019 10:03, 1, 0
12-10-2019 08:14, 1, 0
12-10-2019 08:22, 0, 1
12-10-2019 08:32, 1, 0
12-10-2019 08:40, 0, 1
12-10-2019 08:50, 1, 0
12-10-2019 09:01, 1, 0
12-10-2019 09:05, 0, 1
12-10-2019 09:15, 1, 0
12-10-2019 09:23, 1, 0
12-10-2019 09:35, 1, 0
12-10-2019 09:40, 1, 0
10-11-2019 09:38, 0, 1
10-11-2019 09:50, 0, 1
10-11-2019 10:00, 1, 0
10-11-2019 10:06, 0, 1
10-11-2019 10:16, 1, 0
10-11-2019 10:25, 0, 1
10-11-2019 10:34, 0, 1
10-11-2019 10:42, 1, 0
10-11-2019 10:54, 1, 0
10-11-2019 11:03, 0, 1
10-11-2019 11:14, 0, 1
10-11-2019 11:24, 0.5, 0.5
