Date, A, B
18-01-2019 12:00, 1, 0
18-01-2019 12:00, 0, 1
18-01-2019 12:00, 0, 1
25-01-2019 12:29, 0, 1
25-01-2019 12:29, 1, 0
25-01-2019 12:29, 1, 0
25-01-2019 12:29, 1, 0
01-02-2019 12:16, 1, 0
01-02-2019 12:16, 1, 0
01-02-2019 12:16, 0, 1
01-02-2019 12:17, 1, 0
15-02-2019 11:56, 1, 0
22-02-2019 11:45, 1, 0
22-02-2019 11:45, 1, 0
22-02-2019 11:45, 1, 0
01-03-2019 13:02, 0, 1
01-03-2019 13:02, 0, 1
01-03-2019 13:02, 1, 0
15-03-2019 11:43, 0, 1
15-03-2019 11:44, 0, 1
15-03-2019 11:44, 1, 0
22-03-2019 11:44, 1, 0
22-03-2019 11:45, 0, 1
22-03-2019 11:45, 0, 1
22-03-2019 12:12, 1, 0
29-03-2019 12:11, 1, 0
29-03-2019 12:11, 1, 0
29-03-2019 12:11, 0, 1
